dProofs21.txt:37333                    10 CNCpCqCrrs   DD2D1DD23D1D1D1DD2111:CNC0C1C2.2.3
dProofs23.txt:14987                    10 CpCqCCNrrr   D1D1DD2DD2D13D2DD2D1311:C0C1CCN2.2.2
dProofs23.txt:33086                    10 CpCqCrCNqs   D1DD2D11DD2D1D2DD2D1311:C0C1C2CN1.3
dProofs23.txt:36654                    10 CpCqCNCrqs   D1DD2D1D2DD2D131DD2D111:C0C1CNC2.1.3
dProofs23.txt:53878                    10 CCpCNqqCpq   D2D1DD2DD2D13D2DD2D1311:CC0CN1.1C0.1
dProofs23.txt:74321                    10 CCpNCqpCpr   D2DD2D1D2DD2D131DD2D111:CC0NC1.0C0.2
dProofs23.txt:94592                    10 CCpNpCqCpr   DD2D11D2DD2D1D2DD2D1311:CC0N0C1C0.2
dProofs25.txt:280870                   10 CNNNpCqCpr   DD2D11DD2D13DD2D13DD2D131:CNNN0C1C0.2
dProofs25.txt:294811                   10 CCCpqNrCrp   DD2D13DD2D1DD22D1DD2D1311:CCC0.1N2C2.0
dProofs25.txt:311034                   10 CNpCCCpqrr   DD2D1D2DD211DD2D11DD2D131:CN0CCC0.1.2.2
dProofs25.txt:320110                   10 CNNNCpCqpr   DD2D1DD23D11DD2D13DD2D131:CNNNC0C1.0.2
dProofs25.txt:322057                   10 CNCNNpCqpr   DD2D1DD23D1DD2D13DD2D1311:CNCNN0C1.0.2
dProofs25.txt:322101                   10 CNCpCCpqqr   DD2D1DD23D1DD2D1D2DD21111:CNC0CC0.1.1.2
dProofs25.txt:322365                   10 CNNNCNpNpp   DD2D1DD23D21DD2D13DD2D131:CNNNCN0N0.0 [instance of CNNNCppq]
dProofs25.txt:355061                   10 CCCpCNpqrr   DD2DD211D1DD2D1D2DD2D1311:CCC0CN0.1.2.2
dProofs27.txt:310448                   10 CpCqCCqNqr   D1DD2D1D2D2DD2D1D2DD2D13111:C0C1CC1N1.2
dProofs27.txt:316803                   10 CpCNCqrCrs   D1DD2D1DD22D11DD2D11DD2D131:C0CNC1.2C2.3
dProofs27.txt:323717                   10 CpCCNqNNqq   D1DD2D1DD2DD2D13D2DD2D13113:C0CCN1NN1.1
dProofs27.txt:640976                   10 CCpCpNpCpq   D2DD2D1D2D2DD2D1D2DD2D13111:CC0C0N0C0.1
dProofs27.txt:830682                   10 CpCqCrCNps   DD2D11DD2D11DD2D1D2DD2D1311:C0C1C2CN0.3
dProofs27.txt:834249                   10 CpCqCNCrps   DD2D11DD2D1D2DD2D131DD2D111:C0C1CNC2.0.3
dProofs27.txt:858557                   10 CpCCqNpCqr   DD2D12DD2D11DD2D1D2DD2D1311:C0CC1N0C1.2
dProofs27.txt:908087                   10 CpCCpqCNqr   DD2D1D2D2D1DD2D1D2DD2D13111:C0CC0.1CN1.2
dProofs27.txt:915249                   10 CNpCCCpqpq   DD2D1D2D2DD211DD2D11DD2D131:CN0CCC0.1.0.1
dProofs27.txt:920369                   10 CCNppCCpqq   DD2D1D2DD211DD2D13D2DD2D131:CCN0.0CC0.1.1
dProofs27.txt:929477                   10 CCpqCNqCpr   DD2D1D2DD2D12DD2D11DD2D1311:CC0.1CN1C0.2
dProofs27.txt:929935                   10 CpCNCqCrps   DD2D1D2DD2D131DD2D11DD2D111:C0CNC1C2.0.3
dProofs27.txt:946016                   10 CCCNpqrCpr   DD2D1DD22D1DD2D1D2DD2D13111:CCCN0.1.2C0.2
dProofs27.txt:948499                   10 CCpqCCNppq   DD2D1DD22D2DD2D13D2DD2D1311:CC0.1CCN0.0.1
dProofs27.txt:955241                   10 CNCCCppqqr   DD2D1DD23D1DD2DD211D1DD2111:CNCCC0.0.1.1.2
dProofs27.txt:955758                   10 CCCpqpCNpq   DD2D1DD2D1DD2D22D1DD2D13121:CCC0.1.0CN0.1 [instance of CCCpqpCNpr]
dProofs27.txt:1048015                  10 CCCppNCppq   DD2D2DD2D1D2DD2D1311D1DD211:CCC0.0NC0.0.1 [instance of CCCppNCqqr]
dProofs27.txt:1052842                  10 CCCNCppqrr   DD2DD211D1DD2D1DD23D1DD2111:CCCNC0.0.1.2.2
