dProofs23.txt:834241                   8 CpNNCLqq   D1DD3DD2DD2D13DD2D13114:C0NNCL1.1
dProofs23.txt:2726156                  8 CNNLpCqp   DD2D1D2D14DD2D13DD2D131:CNNL0C1.0
dProofs23.txt:3286184                  8 NNCpCLqq   DD3DD2DD2D13DD2D1311D14:NNC0CL1.1
dProofs23.txt:3286195                  8 NNLLCLpp   DD3DD2DD2D13DD2D1311NN4:NNLLCL0.0
dProofs23.txt:4337026                  8 LCLpLNNp   ND5ND3DD2DD2D13DD2D1311:LCL0LNN0
dProofs23.txt:4877954                  8 LNNLCLpp   NDD3DD2DD2D13DD2D1311N4:LNNLCL0.0
dProofs23.txt:5715418                  8 LLNNCLpp   NNDD3DD2DD2D13DD2D13114:LLNNCL0.0
dProofs24.txt:5342316                  8 CLNLCppq   DD2D1DD23D1NDD211DD2D114:CLNLC0.0.1
dProofs24.txt:9125718                  8 LCLNCppq   NDD2D1DD23D1DD211DD2D114:LCLNC0.0.1
dProofs25-unfiltered25+.txt:2694096    8 CpCNNLqq   D1DD2D14DD2DD2D13DD2D1311:C0CNNL1.1
dProofs25-unfiltered25+.txt:2803483    8 CpCLNNqq   D1DD2D1DD2DD2D13DD2D13114:C0CLNN1.1
dProofs25-unfiltered25+.txt:12559485   8 CLLLLLpp   DD2D14DD2D14DD2D14DD2D144:CLLLLL0.0
dProofs25-unfiltered25+.txt:12578699   8 CCNLpLpp   DD2D14DD2DD2D13D2DD2D1311:CCNL0L0.0
dProofs25-unfiltered25+.txt:12877222   8 CpCCpNpq   DD2D1D2D2DD2D1D2DD2D13111:C0CC0N0.1
dProofs25-unfiltered25+.txt:12994950   8 CNCpqCqr   DD2D1DD22D11DD2D11DD2D131:CNC0.1C1.2
dProofs25-unfiltered25+.txt:13141905   8 CCNpNNpp   DD2D1DD2DD2D13D2DD2D13113:CCN0NN0.0
dProofs25-unfiltered25+.txt:24889664   8 LLCNNLpp   NNDD2D14DD2DD2D13DD2D1311:LLCNNL0.0
dProofs25-unfiltered25+.txt:24999051   8 LLCLNNpp   NNDD2D1DD2DD2D13DD2D13114:LLCLNN0.0
dProofs26-unfiltered25+.txt:19748275   8 CLLNNpLp   D5NDD2D1DD2DD2D13DD2D13114:CLLNN0L0
dProofs26-unfiltered25+.txt:24835161   8 CLNpCLpq   DD2D1D2D14DD2D15D5NDD2D131:CLN0CL0.1
dProofs26-unfiltered25+.txt:43046321   8 LCpCqNNp   NDD2D11D3DD2DD2D13DD2D1311:LC0C1NN0
dProofs26-unfiltered25+.txt:43663246   8 LCpNNCqp   NDD2D1D3DD2DD2D13DD2D13111:LC0NNC1.0
dProofs26-unfiltered25+.txt:43707477   8 LCNpCLpq   NDD2D1DD22D14DD2D11DD2D131:LCN0CL0.1
dProofs26-unfiltered25+.txt:43846885   8 LCLCNppp   NDD2D1DD2DD2D13D2DD2D13114:LCLCN0.0.0
dProofs27-unfiltered25+.txt:8729377    8 CpCqNLNq   D1D3DD2D14DD2DD2D13DD2D1311:C0C1NLN1
dProofs27-unfiltered25+.txt:12945627   8 CpCLqNNq   D1DD2D1D3DD2DD2D13DD2D13114:C0CL1NN1
dProofs27-unfiltered25+.txt:57435118   8 CLLpCNpq   DD2D1D2DD2D131DD2D11DD2D144:CLL0CN0.1
dProofs27-unfiltered25+.txt:57439870   8 CLpCLNpq   DD2D1D2DD2D13DD2D114DD2D114:CL0CLN0.1
dProofs27-unfiltered25+.txt:57439922   8 CpCLLNpq   DD2D1D2DD2D13DD2D11DD2D1441:C0CLLN0.1
