dProofs51.txt:109513                  10 CNNNCpCqpr     DDDDD1D111DDD11D1D1D111DDD1D1DDDD11D1D1D111D1D11111:CNNNC0C1.0.2
dProofs51.txt:112281                  10 CpNNCNCqqr     DDDDD1D1D11DD1D1111DD1D1D1DD1D1D11D1D1D11D1D1D1D111:C0NNCNC1.1.2
dProofs53.txt:128683                  10 CCNCpqqCpq     DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D11111:CCNC0.1.1C0.1
dProofs53.txt:155934                  10 CNCpNNCqqr     DDDD1D11D11DDD1D1D11DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:CNC0NNC1.1.2
dProofs53.txt:157933                  10 CNCNNpCqpr     DDDD1D11D11DDDD1D1DDDD11D1D1D111D1D1111DDD11D1D1D1111:CNCNN0C1.0.2
dProofs55.txt:76399                   10 CNCCpqrCpq     DD1D1DD1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11D1D11:CNCC0.1.2C0.1 [instance of CNCpqp]
dProofs55.txt:195685                  10 CpNNCqCNpr     DDD1D1D1D1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D1111D1D111:C0NNC1CN0.2
dProofs55.txt:254463                  10 CNCNCpqNqr     DDDD1D11D11DDD1D1DD1D1DDDD11D1D1D111D1D11DD1D111D1D1111:CNCNC0.1N1.2
dProofs55.txt:293556                  10 CNNNCpCqqr     DDDDD1D111DDD1D1D11D1D1D111DDD1D1DDDD11D1D1D111D1D11111:CNNNC0C1.1.2
dProofs57.txt:187487                  10 CNCpqCNNqr     DDD11DDD1D1DD1D1DD1D1D11D1D1D111D1D1DDDD11D1D1D111D1D1111:CNC0.1CNN1.2
dProofs57.txt:496075                  10 NNCNCpCqpr     DDDDDD1D111DDD11D1D1D111DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:NNCNC0C1.0.2
dProofs59.txt:153255                  10 CpCqCNCrsr     DD1D1D11D1D1D1DD1D1D11D1D1DD1DD1D1DD1D1D111DDD11D1D1D111D11:C0C1CNC2.3.2
dProofs59.txt:306149                  10 CNNCCpNqqq     DDD11DDDD1D1DD1DD11D1D1D11111D1D1DD1D1DDDD11D1D1D111D1D1111:CNNCC0N1.1.1
dProofs59.txt:521620                  10 CpCNCqNNqr     DDD1D1D1D1D1DD1DD1DD1D1D11D1D1D1DD1D1D11D1D1D1111DD1D11D111:C0CNC1NN1.2
dProofs59.txt:680035                  10 CNCpNNCqpr     DDDD1D11D11DDD1DDD1D1D1111DD1D1D1DD1D1D11D1D1D11D1D1D1D1111:CNC0NNC1.0.2
dProofs59.txt:724067                  10 NNCpCNCqpr     DDDD1D1D1DD1D1D11D1D1D11D1D1D1D11DDD1DDD1D1D1111DD1D11D1111:NNC0CNC1.0.2
dProofs61.txt:936111                  10 CNNCNpNNpp     DDD1D1DD1DD1D1DDDD11D1D1D111D1D11DD1D1DD1D1D11D1D1D1111D1D111:CNNCN0NN0.0
